Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf
2.127,Terrain,186322,None,True,240.7917:-0.004999995:414.1032:0:0.9545951:0:-0.2979065,238.2786:0.1115837:404.2183:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003267308:-0.4948998:0.001860873:0.8689419,219.1481:0.1115837:408.9471:0.002056049:0.619779:-0.001623778:0.784772,223.4981:0.1115839:396.5757:0.002190206:0.3795761:-0.0008986036:0.9251575,239.0566:0.1115837:392.061:0.002634341:0.03926581:-0.0001035197:0.9992253
2.177,Terrain,186322,None,True,240.6734:-0.004999995:413.9281:0:0.9545951:0:-0.2979065,238.2989:0.1115837:404.2806:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.00325168:-0.5007954:0.001881361:0.8655576,219.1481:0.1115837:408.9471:0.00206519:0.6223141:-0.001641872:0.7827632,223.4981:0.1115839:396.5757:0.002208117:0.3803108:-0.0009080021:0.9248557,239.0566:0.1115837:392.061:0.00265664:0.03689189:-9.807556E-05:0.9993157
2.227,Terrain,186322,None,True,240.5774:-0.004999995:413.786:0:0.9545951:0:-0.2979065,238.3298:0.1115837:404.3757:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003238492:-0.505552:0.0018976:0.862788,219.1481:0.1115837:408.9471:0.002072564:0.6243918:-0.001656741:0.7811069,223.4981:0.1115839:396.5757:0.002222856:0.3809157:-0.0009157631:0.9246067,239.0566:0.1115837:392.061:0.002674948:0.03493675:-9.351143E-05:0.999386
2.277,Terrain,186322,None,True,240.4738:-0.004999995:413.7854:0:0.9262901:0:-0.3768111,238.3503:0.1115837:404.439:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003216704:-0.5069655:0.001891922:0.8619583,219.1481:0.1115837:408.9471:0.002082998:0.6239952:-0.00166335:0.7814236,223.4981:0.1115839:396.5757:0.002230985:0.3795174:-0.0009151691:0.9251814,239.0566:0.1115837:392.061:0.0026761:0.03256542:-8.719489E-05:0.999466
2.326,Terrain,186322,None,True,240.2276:-0.005000174:413.894:0:0.87869:0:-0.4773928,238.3812:0.1115837:404.5338:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003160999:-0.5076366:0.001862473:0.8615635,219.1481:0.1115837:408.9471:0.002109943:0.6210964:-0.001672105:0.7837296,223.4981:0.1115839:396.5757:0.002244493:0.3746789:-0.0009070408:0.9271515,239.0566:0.1115837:392.061:0.002665079:0.02678691:-7.141513E-05:0.9996376
2.376,Terrain,186322,None,True,240.0269:-0.004999995:414.0087:0:-0.8457511:0:0.5335776,238.4023:0.1115837:404.5988:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003115854:-0.5075535:0.001835468:0.8616127,219.1481:0.1115837:408.9471:0.002132656:0.618219:-0.001677413:0.7860013,223.4981:0.1115839:396.5757:0.002253921:0.3703521:-0.0008986492:0.9288883,239.0566:0.1115837:392.061:0.00265267:0.02208865:-5.860842E-05:0.9997525
2.426,Terrain,186322,None,True,239.6955:-0.005000055:414.2152:0:-0.7972221:0:0.6036862,238.433:0.1115837:404.6933:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.003043337:-0.5070341:0.00179028:0.8619188,219.1481:0.1115837:408.9471:0.002171081:0.6130415:-0.001684664:0.790046,223.4981:0.1115839:396.5757:0.002268124:0.3629209:-0.0008833817:0.9318168,239.0566:0.1115837:392.061:0.002629794:0.01441451:-3.791127E-05:0.9998927
2.475,Terrain,186322,None,True,239.4624:-0.005000055:414.3663:0:-0.7664683:0:0.6422821,238.4535:0.1115837:404.7563:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.00299407:-0.5065506:0.001759038:0.8622033,219.1481:0.1115837:408.9471:0.002198652:0.6091958:-0.00168901:0.793015,223.4981:0.1115839:396.5757:0.002277408:0.3575757:-0.0008720018:0.933881,239.0566:0.1115837:392.061:0.002612795:0.009094464:-2.376303E-05:0.9999552
2.524,Terrain,186322,None,True,239.1026:-0.004999995:414.604:0:-0.7237479:0:0.6900645,238.4839:0.1115837:404.8497:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.0029209:-0.5057372:0.001712346:0.862681,219.1481:0.1115837:408.9471:0.002241983:0.6030136:-0.00169475:0.7977259,223.4981:0.1115839:396.5757:0.002290825:0.3492078:-0.0008537227:0.9370421,239.0566:0.1115837:392.061:0.002585771:0.001019367:-2.63586E-06:0.9999961
2.575,Terrain,186322,None,True,238.8587:-0.005000055:414.7668:0:-0.6978235:0:0.7162698,238.5044:0.1115837:404.9128:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.002873229:-0.5051723:0.001681872:0.8630121,219.1481:0.1115837:408.9471:0.002271859:0.5986735:-0.00169803:0.8009881,223.4981:0.1115839:396.5757:0.002299351:0.3434753:-0.0008409339:0.9391586,239.0566:0.1115837:392.061:0.002567117:-0.004358923:1.119E-05:0.9999872
2.624,Terrain,186322,None,True,238.4894:-0.004999995:415.0146:0:-0.6629018:0:0.7487064,238.535:0.1115837:405.007:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.002803887:-0.5043246:0.001637587:0.8635081,219.1481:0.1115837:408.9471:0.002317809:0.5918911:-0.001702071:0.8060128,223.4981:0.1115839:396.5757:0.00231142:0.3347266:-0.0008210589:0.9423121,239.0566:0.1115837:392.061:0.002538557:-0.01235248:3.135996E-05:0.9999205
2.674,Terrain,186322,None,True,238.2419:-0.005000114:415.1811:0:-0.6423044:0:0.7664496,238.5554:0.1115837:405.0699:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.002759223:-0.5037718:0.001609133:0.8638309,219.1481:0.1115837:408.9471:0.002349087:0.5872072:-0.001704159:0.8094316,223.4981:0.1115839:396.5757:0.00231897:0.328823:-0.0008074333:0.9443884,239.0566:0.1115837:392.061:0.002519288:-0.01761221:4.437727E-05:0.9998417
2.723,Terrain,186322,None,True,237.8684:-0.005000174:415.4304:0:-0.6156688:0:0.788005,238.5859:0.1115837:405.1637:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.002694524:-0.5030065:0.001568204:0.864277,219.1481:0.1115837:408.9471:0.002396929:0.579973:-0.001706485:0.8146303,223.4981:0.1115839:396.5757:0.002329658:0.3198932:-0.0007865761:0.9474504,239.0566:0.1115837:392.061:0.002490321:-0.02539809:6.327E-05:0.9996743
2.773,Terrain,186322,None,True,237.6175:-0.005000234:415.5948:0:-0.6011983:0:0.7990998,238.6065:0.1115837:405.2272:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.002652833:-0.5025749:0.001542168:0.8645282,219.1481:0.1115837:408.9471:0.002429511:0.5750356:-0.001707635:0.8181231,223.4981:0.1115839:396.5757:0.002336501:0.313903:-0.0007724821:0.9494519,239.0566:0.1115837:392.061:0.002471151:-0.0305333:7.548784E-05:0.9995307
2.822,Terrain,186322,None,True,237.2345:-0.004999995:415.8315:0:-0.5855585:0:0.8106302,238.6373:0.1115837:405.3217:0.004421041:0.1564916:-0.0007004937:0.9876692,254.1252:0.1115837:406.1947:0.002592072:-0.5022153:0.001505402:0.8647375,219.1481:0.1115837:408.9471:0.002479951:0.5675614:-0.00170956:0.8233256,223.4981:0.1115839:396.5757:0.002347084:0.3048843:-0.0007513641:0.9523863,239.0566:0.1115837:392.061:0.002443289:-0.03824385:9.350945E-05:0.9992654
