Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
1.148,Terrain,27372,None,True,247.7426:-0.004999995:422.5988:0:0.967671:0:-0.2522158,254.1274:0.1115837:400.5315:0.00251234:-0.1403548:0.0003561453:0.9900981,226.925:0.1115837:400.0205:0.001767965:0.3638748:-0.0006906657:0.931446,239.5336:0.1115837:409.8317:0.003684663:0.2818415:-0.001082378:0.9594533,257.9121:0.1115837:401.5073:0.002426924:-0.2227511:0.0005545343:0.9748722,244.207:0.1115837:388.6828:0.00170714:0.05191198:-8.874082E-05:0.9986502,245.0705:0.1115837:391.2257:0.001849639:0.04247056:-7.862627E-05:0.999096,224.7857:0.1115837:400.783:0.001691405:0.3944233:-0.0007259876:0.918927,240.4374:0.1115837:408.7354:0.003610981:0.2401143:-0.0008931851:0.9707375
1.198,Terrain,27372,None,True,247.5247:-0.004999995:422.4268:0:0.9616655:0:-0.2742254,254.1274:0.1115837:400.5315:0.002521618:-0.1459181:0.0003719318:0.9892934,226.925:0.1115837:400.0205:0.001784383:0.3632063:-0.0006956044:0.9317068,239.5336:0.1115837:409.8317:0.003718095:0.2804157:-0.001086201:0.9598709,257.9121:0.1115837:401.5073:0.002429751:-0.2284019:0.0005700293:0.9735637,244.207:0.1115837:388.6828:0.001717112:0.04898247:-8.420958E-05:0.9987982,245.0705:0.1115837:391.2257:0.001861062:0.03923759:-7.307998E-05:0.9992282,224.7857:0.1115837:400.783:0.001706593:0.3940501:-0.0007316858:0.9190871,240.4374:0.1115837:408.7354:0.003673588:0.2365663:-0.0008944423:0.971608
1.247,Terrain,27372,None,True,247.1867:-0.004999995:422.1594:0:0.9533187:0:-0.3019661,254.1274:0.1115837:400.5315:0.002535411:-0.1546419:0.0003968559:0.9879673,226.925:0.1115837:400.0205:0.001810483:0.3621529:-0.0007034222:0.9321167,239.5336:0.1115837:409.8317:0.003718095:0.2804157:-0.001086201:0.9598709,257.9121:0.1115837:401.5073:0.002433381:-0.2372138:0.0005941932:0.9714543,244.207:0.1115837:388.6828:0.001732699:0.04437203:-7.69593E-05:0.9990136,245.0705:0.1115837:391.2257:0.00187891:0.0341449:-6.419272E-05:0.9994152,224.7857:0.1115837:400.783:0.001730719:0.3934661:-0.0007407282:0.9193372,240.4374:0.1115837:408.7354:0.003774735:0.2308309:-0.0008955168:0.9729862
1.297,Terrain,27372,None,True,246.9572:-0.004999936:421.977:0:0.9482543:0:-0.317512,254.1274:0.1115837:400.5315:0.002544376:-0.1606307:0.0004140835:0.9870113,226.925:0.1115837:400.0205:0.001828667:0.3614298:-0.0007088555:0.9323972,239.5336:0.1115837:409.8317:0.003718095:0.2804157:-0.001086201:0.9598709,257.9121:0.1115837:401.5073:0.002435341:-0.2432297:0.0006106889:0.9699655,244.207:0.1115837:388.6828:0.001743382:0.04119581:-7.188118E-05:0.9991496,245.0705:0.1115837:391.2257:0.001891134:0.03063308:-5.795858E-05:0.9995289,224.7857:0.1115837:400.783:0.001747515:0.3930699:-0.0007470264:0.9195067,240.4374:0.1115837:408.7354:0.003774735:0.2308309:-0.0008955168:0.9729862
1.347,Terrain,27372,None,True,246.6097:-0.005000174:421.6996:0:0.9413834:0:-0.3373386,254.1274:0.1115837:400.5315:0.002557274:-0.1697963:0.0004406153:0.9854758,226.925:0.1115837:400.0205:0.001856943:0.3603192:-0.0007172734:0.932827,239.5336:0.1115837:409.8317:0.003718095:0.2804157:-0.001086201:0.9598709,257.9121:0.1115837:401.5073:0.002437496:-0.2523831:0.000635766:0.9676241,244.207:0.1115837:388.6828:0.0017597:0.03631393:-6.39439E-05:0.9993389,245.0705:0.1115837:391.2257:0.001909794:0.02523022:-4.819995E-05:0.9996799,224.7857:0.1115837:400.783:0.001773613:0.3924676:-0.0007568092:0.9197638,240.4374:0.1115837:408.7354:0.003774735:0.2308309:-0.0008955168:0.9729862
1.396,Terrain,27372,None,True,246.3771:-0.005000055:421.5129:0:0.9373457:0:-0.3484008,254.1274:0.1115837:400.5315:0.002565439:-0.1759996:0.0004586778:0.9843868,226.925:0.1115837:400.0205:0.001876395:0.3595665:-0.000723048:0.9331173,239.5336:0.1115837:409.8317:0.003718095:0.2804157:-0.001086201:0.9598709,257.9121:0.1115837:401.5073:0.002438385:-0.2585421:0.0006526162:0.9659967,244.207:0.1115837:388.6828:0.001770725:0.03299513:-5.845719E-05:0.999454,245.0705:0.1115837:391.2257:0.00192239:0.02155373:-4.144438E-05:0.9997659,224.7857:0.1115837:400.783:0.001791553:0.3920645:-0.0007635365:0.9199357,240.4374:0.1115837:408.7354:0.003774735:0.2308309:-0.0008955168:0.9729862
1.446,Terrain,27372,None,True,246.0969:-0.005000055:421.2876:0:0.9354629:0:-0.3534251,254.1274:0.1115837:400.5315:0.002574704:-0.1835338:0.0004807126:0.9830099,226.925:0.1115837:400.0205:0.001900381:0.358645:-0.0007301368:0.9334718,239.5336:0.1115837:409.8317:0.003718095:0.2804157:-0.001086201:0.9598709,257.9121:0.1115837:401.5073:0.002438825:-0.2659822:0.0006729263:0.9639747,244.207:0.1115837:388.6828:0.001784081:0.02894443:-5.166093E-05:0.9995794,245.0705:0.1115837:391.2257:0.001937638:0.01706289:-3.306659E-05:0.9998525,224.7857:0.1115837:400.783:0.00181366:0.3915743:-0.0007718164:0.9201444,240.4374:0.1115837:408.7354:0.003774735:0.2308309:-0.0008955168:0.9729862
1.496,Terrain,27372,None,True,245.9974:-0.005000055:421.2076:0:0.9354629:0:-0.3534251,254.1274:0.1115837:400.5315:0.002577823:-0.186224:0.0004886011:0.9825038,226.925:0.1115837:400.0205:0.001909042:0.3583121:-0.0007326835:0.9335997,239.5336:0.1115837:409.8317:0.003718095:0.2804157:-0.001086201:0.9598709,257.9121:0.1115837:401.5073:0.002438801:-0.2686277:0.0006801305:0.9632408,244.207:0.1115837:388.6828:0.001788836:0.02749175:-4.91969E-05:0.9996204,245.0705:0.1115837:391.2257:0.001943062:0.01545149:-3.002684E-05:0.9998788,224.7857:0.1115837:400.783:0.00182164:0.3913973:-0.0007747985:0.9202197,240.4374:0.1115837:408.7354:0.003774735:0.2308309:-0.0008955168:0.9729862
1.546,Terrain,27372,None,True,245.8168:-0.004999936:421.2679:0:0.8796506:0:-0.4756205,254.1274:0.1115837:400.5315:0.00256206:-0.1894329:0.0004942901:0.9818902,226.925:0.1115837:400.0205:0.001916351:0.3554443:-0.0007287468:0.9346952,239.5336:0.1115837:409.8317:0.003718095:0.2804157:-0.001086201:0.9598709,257.9121:0.1115837:401.5073:0.002421687:-0.2711897:0.0006823073:0.9625227,244.207:0.1115837:388.6828:0.001786178:0.02467865:-4.409397E-05:0.9996939,245.0705:0.1115837:391.2257:0.001939568:0.01241781:-2.408708E-05:0.999921,224.7857:0.1115837:400.783:0.001829307:0.3887516:-0.0007718603:0.9213405,240.4374:0.1115837:408.7354:0.003774735:0.2308309:-0.0008955168:0.9729862
1.595,Terrain,27372,None,True,245.6681:-0.004999995:421.3938:0:-0.838958:0:0.5441963,254.1274:0.1115837:400.5315:0.002541455:-0.1914218:0.0004956574:0.9815044,226.925:0.1115837:400.0205:0.001919114:0.3522409:-0.0007222836:0.9359072,239.5336:0.1115837:409.8317:0.003718095:0.2804157:-0.001086201:0.9598709,257.9121:0.1115837:401.5073:0.002401613:-0.2724493:0.000680046:0.9621669,244.207:0.1115837:388.6828:0.001779803:0.02231663:-3.972916E-05:0.9997494,245.0705:0.1115837:391.2257:0.001931751:0.009902949:-1.9131E-05:0.9999491,224.7857:0.1115837:400.783:0.001832977:0.3857053:-0.0007662844:0.9226199,240.4374:0.1115837:408.7354:0.003774735:0.2308309:-0.0008955168:0.9729862
