Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
2.801,Terrain,185516,None,True,238.7503:-0.004999995:419.079:0:-0.8066413:0:0.5910413,239.3035:-0.02999312:403.4927:-0.0008011375:-0.0177373:-1.421225E-05:0.9998424,238.1141:0.1115839:403.7122:0.003789223:0.0206875:-7.840689E-05:0.9997788,254.1505:0.1115837:406.1739:0.002628933:-0.4229121:0.001226936:0.9061661,219.1169:0.1115837:408.9374:0.002252951:0.5201252:-0.001372013:0.854086,223.4755:0.1115839:396.552:0.002047355:0.2935382:-0.0006286729:0.955945,239.0525:0.1115837:392.0285:0.002154746:-0.005584176:1.20327E-05:0.9999821
2.853,Terrain,185516,None,True,238.7504:-0.004999995:419.079:0:-0.8066413:0:0.5910413,239.3035:-0.02999181:403.4927:-0.0008010956:-0.0177329:-1.420799E-05:0.9998425,238.1141:0.1115839:403.7122:0.003789222:0.02068998:-7.841626E-05:0.9997788,254.1505:0.1115837:406.1739:0.002628942:-0.422911:0.001226936:0.9061666,219.1169:0.1115837:408.9374:0.002252944:0.5201259:-0.00137201:0.8540856,223.4755:0.1115839:396.552:0.002047351:0.2935393:-0.0006286743:0.9559446,239.0525:0.1115837:392.0285:0.002154746:-0.005582766:1.202966E-05:0.9999821
2.917,Terrain,185516,None,True,238.7505:-0.004999995:419.079:0:-0.8066413:0:0.5910413,239.3035:-0.02999309:403.4927:-0.0008011367:-0.0177329:-1.420871E-05:0.9998425,238.1141:0.1115839:403.7122:0.003789221:0.02069146:-7.842188E-05:0.9997787,254.1505:0.1115837:406.1739:0.002628948:-0.4229103:0.001226936:0.9061669,219.1169:0.1115837:408.9374:0.002252939:0.5201263:-0.001372009:0.8540853,223.4755:0.1115839:396.552:0.002047348:0.29354:-0.0006286752:0.9559444,239.0525:0.1115837:392.0285:0.002154747:-0.00558192:1.202783E-05:0.9999821
2.965,Terrain,185516,None,True,238.7505:-0.004999995:419.079:0:-0.8066413:0:0.5910413,239.3035:-0.02999201:403.4927:-0.0008011023:-0.01773241:-1.420771E-05:0.9998425,238.1141:0.1115839:403.7122:0.003789221:0.02069146:-7.842188E-05:0.9997787,254.1505:0.1115837:406.1739:0.002628948:-0.4229103:0.001226936:0.9061669,219.1169:0.1115837:408.9374:0.002252939:0.5201263:-0.001372009:0.8540853,223.4755:0.1115839:396.552:0.002047348:0.29354:-0.0006286752:0.9559444,239.0525:0.1115837:392.0285:0.002154747:-0.00558192:1.202783E-05:0.9999821
3.012,Terrain,185516,None,True,238.7505:-0.004999995:419.079:0:-0.8066413:0:0.5910413,239.3034:-0.02999166:403.4927:-0.000801091:-0.01773094:-1.420633E-05:0.9998425,238.1141:0.1115839:403.7122:0.003789221:0.02069146:-7.842188E-05:0.9997787,254.1505:0.1115837:406.1739:0.002628948:-0.4229103:0.001226936:0.9061669,219.1169:0.1115837:408.9374:0.002252939:0.5201263:-0.001372009:0.8540853,223.4755:0.1115839:396.552:0.002047348:0.29354:-0.0006286752:0.9559444,239.0525:0.1115837:392.0285:0.002154747:-0.00558192:1.202783E-05:0.9999821
3.074,Terrain,185516,None,True,238.7505:-0.004999995:419.079:0:-0.8066413:0:0.5910413,239.3035:-0.02999318:403.4927:-0.0008011396:-0.01773241:-1.420837E-05:0.9998425,238.1141:0.1115839:403.7122:0.003789221:0.02069146:-7.842188E-05:0.9997787,254.1505:0.1115837:406.1739:0.002628948:-0.4229103:0.001226936:0.9061669,219.1169:0.1115837:408.9374:0.002252939:0.5201263:-0.001372009:0.8540853,223.4755:0.1115839:396.552:0.002047348:0.29354:-0.0006286752:0.9559444,239.0525:0.1115837:392.0285:0.002154747:-0.00558192:1.202783E-05:0.9999821
3.122,Terrain,185516,None,True,238.7505:-0.004999995:419.079:0:-0.8066413:0:0.5910413,239.3035:-0.02999321:403.4927:-0.0008011406:-0.01773339:-1.420917E-05:0.9998425,238.1141:0.1115839:403.7122:0.003789221:0.02069146:-7.842188E-05:0.9997787,254.1505:0.1115837:406.1739:0.002628948:-0.4229103:0.001226936:0.9061669,219.1169:0.1115837:408.9374:0.002252939:0.5201263:-0.001372009:0.8540853,223.4755:0.1115839:396.552:0.002047348:0.29354:-0.0006286752:0.9559444,239.0525:0.1115837:392.0285:0.002154747:-0.00558192:1.202783E-05:0.9999821
3.169,Terrain,185516,None,True,238.7505:-0.004999995:419.079:0:-0.8066413:0:0.5910413,239.3035:-0.02999175:403.4927:-0.0008010939:-0.01773143:-1.420678E-05:0.9998425,238.1141:0.1115839:403.7122:0.003789221:0.02069146:-7.842188E-05:0.9997787,254.1505:0.1115837:406.1739:0.002628948:-0.4229103:0.001226936:0.9061669,219.1169:0.1115837:408.9374:0.002252939:0.5201263:-0.001372009:0.8540853,223.4755:0.1115839:396.552:0.002047348:0.29354:-0.0006286752:0.9559444,239.0525:0.1115837:392.0285:0.002154747:-0.00558192:1.202783E-05:0.9999821
3.232,Terrain,185516,None,True,238.7803:-0.005000055:419.1577:0:-0.7723999:0:0.6351366,239.3035:-0.02999318:403.4927:-0.0007971809:-0.01669098:-1.330759E-05:0.9998604,238.1141:0.1115839:403.7122:0.003769558:0.02155179:-8.126019E-05:0.9997606,254.1505:0.1115837:406.1739:0.002627729:-0.4211176:0.001220046:0.9070014,219.1169:0.1115837:408.9374:0.002248293:0.5190417:-0.00136527:0.854745,223.4755:0.1115839:396.552:0.002041425:0.2931992:-0.0006260601:0.956049,239.0525:0.1115837:392.0285:0.002148524:-0.005014868:1.077472E-05:0.9999852
3.285,Terrain,185516,None,True,238.8738:-0.005000055:419.4039:0:-0.6638776:0:0.7478413,239.3038:-0.02999431:403.4927:-0.0007850723:-0.01350955:-1.060694E-05:0.9999084,238.1141:0.1115839:403.7122:0.00370931:0.02418476:-8.973564E-05:0.9997006,254.1505:0.1115837:406.1739:0.002623573:-0.4155367:0.001198576:0.9095718,219.1169:0.1115837:408.9374:0.002233759:0.5156865:-0.001344486:0.8567734,223.4755:0.1115839:396.552:0.00202312:0.2921474:-0.0006180124:0.956371,239.0525:0.1115837:392.0285:0.002129282:-0.003263184:6.948293E-06:0.9999924
